,wind_speed_Hessen,wind_speed_Brandenburg,wind_speed_Niedersachsen,wind_speed_Bayern,wind_speed_Rheinland-Pfalz,wind_speed_Mecklenburg-Vorpommern,wind_speed_Thüringen,wind_speed_Berlin,wind_speed_Saarland,wind_speed_Nordrhein-Westfalen,wind_speed_Bremen,wind_speed_Sachsen-Anhalt,wind_speed_Schleswig-Holstein,wind_speed_Sachsen,wind_speed_Baden-Württemberg,wind_speed_Hamburg,time_unix
1708588800,4.591333333333334,5.284666666666666,5.414666666666667,4.844666666666667,5.751333333333333,5.445333333333333,6.618000000000001,5.056666666666667,7.707333333333334,4.454666666666667,4.706666666666666,5.597333333333333,4.347333333333333,6.990666666666667,6.148666666666667,4.3566666666666665,1708588800
1708592400,4.688000000000001,5.2219999999999995,5.176,4.856,6.154,5.194,6.1160000000000005,4.94,7.9239999999999995,4.662000000000001,4.43,5.308,4.202,6.728,6.498,4.54,1708592400
1708596000,5.115333333333334,5.125333333333333,5.696000000000001,4.950666666666667,6.470666666666667,5.012666666666667,6.2266666666666675,4.696666666666667,8.209999999999999,5.0726666666666675,5.35,5.538666666666667,4.738666666666666,6.572666666666667,6.664666666666667,4.493333333333333,1708596000
1708599600,5.542666666666667,5.028666666666666,6.216000000000001,5.045333333333333,6.787333333333334,4.831333333333333,6.3373333333333335,4.453333333333333,8.496,5.483333333333333,6.2700000000000005,5.769333333333334,5.275333333333333,6.417333333333334,6.831333333333333,4.446666666666667,1708599600
1708603200,5.970000000000001,4.9319999999999995,6.7360000000000015,5.14,7.104000000000001,4.65,6.448,4.21,8.782,5.894,7.19,6.000000000000001,5.811999999999999,6.2620000000000005,6.998,4.4,1708603200
1708606800,6.277333333333334,5.176,7.096666666666668,4.827333333333333,7.407333333333334,4.940666666666667,6.867333333333334,4.483333333333333,8.968666666666667,6.382666666666667,7.6000000000000005,6.179333333333334,6.153333333333333,6.467333333333333,7.128666666666667,4.8566666666666665,1708606800
1708610400,6.584666666666667,5.42,7.4573333333333345,4.514666666666667,7.710666666666667,5.231333333333334,7.286666666666667,4.756666666666667,9.155333333333335,6.871333333333334,8.01,6.358666666666666,6.494666666666666,6.672666666666667,7.259333333333332,5.3133333333333335,1708610400
1708614000,6.892,5.664000000000001,7.8180000000000005,4.202,8.014,5.522,7.706,5.03,9.342000000000002,7.360000000000001,8.42,6.537999999999999,6.836,6.878,7.389999999999999,5.77,1708614000
1708617600,7.382666666666666,6.078,8.464666666666666,3.8826666666666667,8.537333333333333,6.3933333333333335,8.131333333333334,5.46,9.942000000000002,8.077333333333334,8.933333333333334,6.990666666666667,7.303333333333334,7.1160000000000005,7.8486666666666665,5.93,1708617600
1708621200,7.873333333333333,6.492000000000001,9.111333333333333,3.563333333333333,9.060666666666666,7.264666666666666,8.556666666666667,5.890000000000001,10.542000000000002,8.794666666666666,9.446666666666667,7.443333333333333,7.770666666666666,7.354,8.307333333333334,6.09,1708621200
1708624800,8.363999999999999,6.906000000000001,9.758,3.2439999999999998,9.584,8.136,8.982,6.32,11.142000000000001,9.511999999999999,9.96,7.896000000000001,8.238,7.5920000000000005,8.766000000000002,6.25,1708624800
1708628400,8.941333333333333,7.4333333333333345,10.783333333333333,3.655333333333333,9.013333333333334,8.706666666666667,9.725999999999999,6.88,9.838666666666667,9.548,10.600000000000001,8.620000000000001,9.054666666666666,8.239333333333335,8.506666666666668,7.05,1708628400
